"Language_ID","Feature","Vale"
"bar1","V","ka"
"bar1","V","ha"
"bar1","V","bu"
"bar1","V","a"
"bar1","V","s"
"bar1","S","ruyu"
"bar1","S","ro"
"bar1","IA","yu"
"bar1","IA","su"
"bar1","IA","ria"
"bar1","IA","go"
"bar1","IA","gu"
"bar1","IA","ra"
"bar1","IA","ro"
"bar1","IA","rua"
"bar1","HQ","yu"
"bar1","HQ","su"
"lat1","VSIA",""
"lat1","HQ","ot"
"lat1","HQ","oties"
"lez1","VSIA",""
"lez1","HQ","lda"
"opa1","V","kyuu"
"opa1","V","yuu"
"opa1","S","ka"
"opa1","S","a"
"opa1","IA","shaa"
"opa1","HQ","ish"
"hei1","VS",""
"hei1","IAHQ","lem"
"ets2","S","won"
"ets2","IA","mie"
"ets2","IA","wedoh"
"ets2","IA","weda"
"ets2","IA","wi"
"ets2","IA","mi"
"ets2","HQ","rexamie"
"ets2","HQ","rawi"
"ets2","HQ","lawi"
"ets2","HQ","lexawi"
"uma1","VS","ku"
"uma1","VS","ka"
"uma1","VS","ko"
"uma1","VS","ki"
"uma1","VS","ke"
"uma1","VS","kehe"
"uma1","VS","kupi"
"uma1","VS","kopi"
"uma1","VS","kipi"
"uma1","VS","kupili"
"uma1","VS","kopili"
"uma1","VS","kipili"
"uma1","HQ","noa"
"uma1","HQ","no"
"uma1","HQ","thai"
"uma1","HQ","thali"
"uma1","IA",""
"uma1","IA",""
"uma1","IA",""
"uma1","IA",""
"uma1","IA","kite"
"tur1","VS",""
"tur1","IAHQ","mIs"
"ita1","V",""
"ita1","I","wers?"
"ita1","A","kho?"
"ita1","HQ","kiya"
"ita1","HQ","ai?"
"ita1","HQ","kn"
"hua1","VS","mi"
"hua1","IA","chi"
"hua1","IA","chr"
"hua1","IA","chra"
"hua1","HQ","shi"
"ets1","S","mono"
"ets1","S","ono"
"ets1","S","onu"
"ets1","HQ","bi"
"ets1","HQ","pi"
"ets1","IA","tta"
"ets1","IA","tte"
"ets1","IA","toba"
"ets1","IA","tobe"
"ets1","V",""
"ora1","IA","?ha"
"ora1","HQ","ba"
"ora1","VS",""
"iki1","VS",""
"iki1","I","nu"
"iki1","A","nki"
"iki1","HQ","ti"
"ibo2","VS","ra"
"ibo2","I","bira"
"ibo2","A","mein"
"ibo2","HQ","ronki"
"ibo2","HQ","ki"
"ala1","VSIA",""
"ala1","HQ","r3"
"ala1","HQ","3"
"ida1","VS","gan"
"ida1","VS","an"
"ida1","VS","gin"
"ida1","IA","agan"
"ida1","IA","gan"
"ida1","IA","an"
"ida1","HQ","anwansuga"
"che1","H","ki"
"che1","Q","me"
"che1","VSIA",""
"aym1","VS","wa"
"aym1","VS","w"
"aym1","IA","pacha"
"aym1","IA","pachani"
"aym1","IA","pachana"
"aym1","HQ","ayna"
"aym1","HQ","ana"
"ula1","VS","gi"
"ula1","VS","go"
"ula1","IAHQ","ga"
"ota1","VSIA",""
"ota1","H","ska"
"ota1","Q","lo"
"ota1","Q","le"
"ota1","Q","ye"
"ota1","Q","ce"
"ota1","Q","ku"
"nee1","VS",""
"nee1","I","tir"
"nee1","A","ar"
"nee1","HQ","wi"
"haz1","VS",""
"haz1","IAHQ","zaaren"
"haz1","IAHQ","zaap"
"ini1","Q","en"
"ini1","VSIAH",""
"ang1","V",""
"ang1","V","u"
"ang1","V","wu"
"ang1","S",""
"ang1","IA","k"
"ang1","HQ","I"
"tan1","V","tae"
"tan1","IA","zeg"
"tan1","HQ","se"
"min1","V",""
"min1","IA",""
"min1","S","hah"
"min1","S","ham"
"min1","HQ","riis"
"tuc1","V","ami"
"tuc1","S","asi"
"tuc1","IA","api"
"tuc1","HQ","apI"
"ora2","VS","ku"
"ora2","IA","sein"
"ora2","H","nuu"
"ora2","Q","yee"
"ntu1","V","be"
"ntu1","S","nte"
"ntu1","I","re"
"ntu1","A","?el"
"ntu1","HQ","ke"
"ham1","VSIA",""
"ham1","HQ","di"
"baa1","VS","gara"
"baa1","HQ","dja"
