"Language_ID","Language","Source","Page"
"bar1","Barasano","jones1991barasano","80-92"
"lat1","Latvian","praulinvs2012latvian","163-164"
"lez1","Lezgian","haspelmath1993grammar","148"
"opa1","Maricopa","gordon1986development","111;112;150-151;174"
"hei1","Meithei","aikhenvald2004evidentiality","31"
"ets2","Nenets","nikolaeva2014grammar","113;93;94;96"
"uma1","Sanuma","borgman1999sanuma","165;169;170;171;172"
"tur1","Turkish","underhill1976turkish","195"
"ita1","Wichita","rood1976wichita","92-96"
"hua1","Quechua","aikhenvald2004evidentiality","43"
"ets1","Enets","kunnap2002enets","145-148"
"ora1","Bora","aikhenvald2004evidentiality","91;72"
"iki1","Tsafiki","aikhenvald2004evidentiality","54"
"ibo2","Shipibo-Konibo","aikhenvald2004evidentiality","55;56"
"ala1","Sissala","aikhenvald2004evidentiality","32"
"ida1","Skidegate Haida","swanton1911haida","247;248"
"che1","Comanche","aikhenvald2004evidentiality","50"
"aym1","Aymara","hardman1986data","118;124;120"
"ula1","Mangap-Mbula","bugenhagen1991grammar","132;133"
"ota1","Dakota","boas1941dakota","106"
"nee1","Pawnee","parks1976grammar","225;230;226"
"haz1","Abkhaz","aikhenvald2004evidentiality","29"
"ini1","Menomini","aikhenvald2004evidentiality","33"
"ang1","Qiang","aikhenvald2004evidentiality","44;45"
"tan1","Amdo Tibetan","aikhenvald2004evidentiality","45"
"min1","Oksapmin","aikhenvald2004evidentiality","46;47"
"tuc1","Tucano","aikhenvald2004evidentiality","52"
"ora2","Cora","aikhenvald2004evidentiality","57"
"ntu1","Wintu","aikhenvald2004evidentiality","60"
"ham1","Kham","aikhenvald2004evidentiality","32"
"baa1","Ngiyambaa","aikhenvald2004evidentiality","35"
