"Language_ID","Feature","Value"
"afg1","A",0
"afg1","H",0
"afg1","HQ",0
"afg1","I",0
"afg1","IA",0
"afg1","IAHQ",0
"afg1","IH",0
"afg1","Q",0
"afg1","S",0
"afg1","SIAHQ",0
"afg1","V",0
"afg1","VS",0
"afg1","VSI",0
"aha1","A",0
"aha1","H",0
"aha1","HQ",1
"aha1","I",0
"aha1","IA",0
"aha1","IAHQ",0
"aha1","IH",0
"aha1","Q",0
"aha1","S",0
"aha1","SIAHQ",0
"aha1","V",0
"aha1","VS",0
"aha1","VSI",0
"aje1","A",0
"aje1","H",0
"aje1","HQ",1
"aje1","I",0
"aje1","IA",1
"aje1","IAHQ",0
"aje1","IH",0
"aje1","Q",0
"aje1","S",0
"aje1","SIAHQ",0
"aje1","V",0
"aje1","VS",1
"aje1","VSI",0
"akh1","A",0
"akh1","H",0
"akh1","HQ",0
"akh1","I",0
"akh1","IA",0
"akh1","IAHQ",1
"akh1","IH",0
"akh1","Q",0
"akh1","S",0
"akh1","SIAHQ",0
"akh1","V",0
"akh1","VS",1
"akh1","VSI",0
"aki1","A",0
"aki1","H",0
"aki1","HQ",0
"aki1","I",0
"aki1","IA",0
"aki1","IAHQ",0
"aki1","IH",0
"aki1","Q",0
"aki1","S",0
"aki1","SIAHQ",0
"aki1","V",0
"aki1","VS",0
"aki1","VSI",0
"ala1","A",0
"ala1","H",0
"ala1","HQ",1
"ala1","I",0
"ala1","IA",0
"ala1","IAHQ",0
"ala1","IH",0
"ala1","Q",0
"ala1","S",0
"ala1","SIAHQ",0
"ala1","V",0
"ala1","VS",0
"ala1","VSI",0
"alb1","A",0
"alb1","H",0
"alb1","HQ",0
"alb1","I",0
"alb1","IA",0
"alb1","IAHQ",1
"alb1","IH",0
"alb1","Q",0
"alb1","S",0
"alb1","SIAHQ",0
"alb1","V",0
"alb1","VS",1
"alb1","VSI",0
"alg1","A",0
"alg1","H",0
"alg1","HQ",0
"alg1","I",0
"alg1","IA",0
"alg1","IAHQ",0
"alg1","IH",0
"alg1","Q",0
"alg1","S",0
"alg1","SIAHQ",0
"alg1","V",0
"alg1","VS",0
"alg1","VSI",0
"ali1","A",0
"ali1","H",0
"ali1","HQ",0
"ali1","I",0
"ali1","IA",0
"ali1","IAHQ",1
"ali1","IH",0
"ali1","Q",0
"ali1","S",0
"ali1","SIAHQ",0
"ali1","V",0
"ali1","VS",0
"ali1","VSI",0
"ali2","A",0
"ali2","H",0
"ali2","HQ",0
"ali2","I",0
"ali2","IA",0
"ali2","IAHQ",0
"ali2","IH",0
"ali2","Q",0
"ali2","S",0
"ali2","SIAHQ",0
"ali2","V",0
"ali2","VS",0
"ali2","VSI",0
"ana1","A",0
"ana1","H",0
"ana1","HQ",1
"ana1","I",0
"ana1","IA",0
"ana1","IAHQ",0
"ana1","IH",0
"ana1","Q",0
"ana1","S",0
"ana1","SIAHQ",0
"ana1","V",0
"ana1","VS",0
"ana1","VSI",0
"ana2","A",1
"ana2","H",0
"ana2","HQ",1
"ana2","I",1
"ana2","IA",0
"ana2","IAHQ",0
