"Language_ID","Name","Family","Source","Page"
"xun1","!Xun","Kxa","Aikhenvald2004","149"
"haz1","Abkhaz","Abkhaz-Adyge","Aikhenvald2004","29-30"
"gua1","Achagua","Arawakan","Aikhenvald2004","32"
"rou1","Adioukrou","Atlantic-Congo","Aikhenvald2004","135"
"afg1","Afghan Persian","Indo-European","Aikhenvald2004","109"
"una1","Aguaruna","Chicham","Aikhenvald2004","137"
"gul1","Agul","Nakh-Daghestanian","Aikhenvald2004","143"
"alb1","Albanian","Indo-European","Aikhenvald2004","40"
"alg1","Algonquian",NA,"Aikhenvald2004","42"
"tan1","Amdo Tibetan","Sino-Tibetan","Aikhenvald2004","45"
"and1","Andean Spanish","Indo-European","Aikhenvald2004","21"
"ela1","Arabela","Zaparoan","Aikhenvald2004","32"
"bic1","Arabic","Afro-Asiatic","Aikhenvald2004","10"
"chi1","Archi","Nakh-Daghestanian","Aikhenvald2004","29"
"ewa1","Arizona Tewa","Kiowa-Tanoan","Aikhenvald2004","42"
"arm1","Armenian","Indo-European","Aikhenvald2004","39"
"nte1","Arrernte","Pama-Nyungan","Aikhenvald2004","33"
"var1","Avar","Nakh-Daghestanian","Aikhenvald2004","38"
"aym1","Aymara","Aymaran","Aikhenvald2004","43"
"lal1","Bagvalal","Nakh-Daghestanian","Aikhenvald2004","155"
"vic1","Balkan Slavic","Indo-European","Aikhenvald2004","40;158"
"iwa1","Baniwa","Arawakan","Aikhenvald2004","32"
"bar1","Barasano","Tucanoan","Aikhenvald2004","51"
"ora1","Bora","Boran","Aikhenvald2004","44"
"bul1","Bulgarian","Indo-European","Aikhenvald2004","288"
"awa1","Capanawa","Pano-Tacanan","Aikhenvald2004","46"
"ibo1","Cashibo","Pano-Tacanan","Aikhenvald2004","32"
"omo1","Central Pomo","Pomoan","Aikhenvald2004","61"
"evi1","Chemehuevi","Uto-Aztecan","Aikhenvald2004","51"
"kee1","Cherokee","Iroquoian","Aikhenvald2004","26-27"
"yan1","Chipewyan","Athabaskan-Eyak-Tlingit","Aikhenvald2004","31"
"chi2","Chukchi","Chukotko-Kamchatkan","Aikhenvald2004",""
"cir1","Circassian","Abkhaz-Adyge","Aikhenvald2004","293"
"col1","Colombian Spanish","Indo-European","Aikhenvald2004","141"
"che1","Comanche","Uto-Aztecan","Aikhenvald2004","50"
"ora2","Cora","Uto-Aztecan","Aikhenvald2004","57"
"ree1","Cree","Algic","Aikhenvald2004","42"
"api1","Cree/Montagnais/Naskapi","Algic","Aikhenvald2004","42"
"eno1","Cupeno","Uto-Aztecan","Aikhenvald2004","32"
"ota1","Dakota","Siouan","Aikhenvald2004","51"
"ani1","Dani","Nuclear Trans New Guinea","Aikhenvald2004",""
