Language_ID,Feature,Value
awi1,BARE,
jap1,BARE,
jap1,PL,
jap1,PL,tati
jap1,PL,ra
jap1,PL,gata
jap1,PL,domo
jap1,PL,ta
jap1,PL,syo
jap1,SG,kare
jap1,SG,kanoz yo
jap1,SG,anohito
jap1,SG,anoko
jap1,PL,tachi
eng1,SG,i
eng1,SG,me
eng1,SG,me
eng1,PL,we
eng1,SG,you
eng1,SG,you
eng1,PL,us
eng1,SG,your
eng1,SG,your
eng1,SG,my
eng1,SG,my
eng1,SG,mine
eng1,SG,he
eng1,SG,him
eng1,SG,she
eng1,SG,her
eng1,SG,his
eng1,SG,hers
eng1,SG,it
eng1,SG,its
eng1,PL,they
eng1,PL,them
eng1,PL,our
eng1,PL,ours
eng1,PL,us
eng1,SG,herself
eng1,SG,myself
eng1,PL,ourselves
eng1,SG,yourself
eng1,PL,yourselves
eng1,SG,itself
eng1,PL,themselves
eng1,SG,thou
eng1,SG,thee
eng1,SG,thy
eng1,SG,thyself
eng1,SG,thine
eng1,PL,ye
eng1,PL,yours
eng1,SG,this
eng1,SG,that
eng1,PL,them
eng1,PL,these
eng1,PL,those
eng1,PL,their
eng1,PL,theirs
eng1,SG,s
eng1,PL,s
eng1,PL,es
eng1,PL,es
eng1,PL,es
eng1,PL,es
eng1,PL,ves
eng1,PL,i
eng1,PL,ae
eng1,PL,ies
eng1,PL,a
eng1,PL,ren
eng1,PL,eese
eng1,PL,en
eng1,PL,ne
eng1,PL,ee
eng1,PL,ice
eng1,PL,s
eng1,PL,
eng1,PL,some
eng1,SG,someone
eng1,SG,somebody
eng1,SG,something
eng1,PL,any
eng1,SG,anyone
eng1,SG,anybody
eng1,SG,anything
eng1,PL,either
eng1,SG,none
eng1,SG,no one
eng1,SG,nobody
eng1,SG,nothing
eng1,SG,neither
eng1,PL,all
eng1,PL,everyone
eng1,PL,everybody
eng1,PL,everything
eng1,PL,both
eng1,SG,each
eng1,PL,i
eng1,PL,uses
eng1,PL,ae
eng1,PL,as
eng1,PL,a
eng1,PL,ices
eng1,PL,es
eng1,PL,a
eng1,PL,
eng1,PL,i
eng1,PL,im
rus1,SG,
rus1,SG,a
rus1,SG,
rus1,SG,o
rus1,PL,y
rus1,PL,y
rus1,PL,i
rus1,PL,a
rus1,SG,
rus1,SG,u
rus1,SG,
rus1,SG,o
rus1,PL,y
rus1,PL,y
rus1,PL,i
rus1,PL,a
rus1,SG,a
rus1,SG,y
rus1,SG,i
rus1,SG,a
rus1,PL,ov
rus1,PL,
rus1,PL,ej
rus1,PL,
rus1,SG,u
rus1,SG,ej
rus1,SG,i
rus1,SG,u
rus1,PL,am
rus1,PL,m
rus1,PL,jam
rus1,PL,ami
rus1,SG,om
rus1,SG,oj
rus1,SG,ju
rus1,SG,m
rus1,PL,ami
rus1,PL,ami
rus1,PL,jami
rus1,PL,ami
rus1,SG,ej
rus1,SG,ej
rus1,SG,i
rus1,SG,ej
rus1,PL,ax
rus1,PL,x
rus1,PL,jax
rus1,PL,ax
rus1,SG,a
rus1,SG,u
rus1,SG,y
rus1,SG,e
rus1,SG,ii
rus1,SG,oj
rus1,SG,e
rus1,PL,y
rus1,PL,
rus1,PL,am
rus1,PL,ami
rus1,PL,ah
rus1,SG,
rus1,SG,a
rus1,SG,u
rus1,SG,om
rus1,SG,e
rus1,PL,y
rus1,PL,ov
rus1,PL,am
rus1,PL,ami
rus1,PL,ah
rus1,SG,o
rus1,SG,a
rus1,SG,u
rus1,SG,om
rus1,SG,e
rus1,PL,a
rus1,PL,
rus1,PL,am
rus1,PL,ami
rus1,PL,ah
rus1,SG,ja
rus1,SG,eni
rus1,SG,enem
rus1,SG,eni
rus1,PL,ena
rus1,PL,en
rus1,PL,enam
rus1,PL,enami
rus1,PL,enah
rus1,SG,
rus1,SG,i
rus1,SG,ju
rus1,SG,i
rus1,PL,i
