"Language_ID","Feature","Value"
"aha1","BARE",1
"aha1","SG",0
"aha1","DU",0
"aha1","TR",0
"aha1","PAUC2",0
"aha1","PAUC3",0
"aha1","PAUC4",0
"aha1","GPAUC",0
"aha1","PL2",0
"aha1","PL3",0
"aha1","PL6",0
"aha1","PL8",0
"aio1","BARE",0
"aio1","SG",1
"aio1","DU",1
"aio1","TR",0
"aio1","PAUC2",0
"aio1","PAUC3",1
"aio1","PAUC4",0
"aio1","GPAUC",0
"aio1","PL2",0
"aio1","PL3",0
"aio1","PL6",1
"aio1","PL8",0
"awi1","BARE",1
"awi1","SG",0
"awi1","DU",0
"awi1","TR",0
"awi1","PAUC2",0
"awi1","PAUC3",0
"awi1","PAUC4",0
"awi1","GPAUC",0
"awi1","PL2",0
"awi1","PL3",0
"awi1","PL6",0
"awi1","PL8",0
"bou1","BARE",0
"bou1","SG",1
"bou1","DU",1
"bou1","TR",0
"bou1","PAUC2",0
"bou1","PAUC3",1
"bou1","PAUC4",0
"bou1","GPAUC",0
"bou1","PL2",0
"bou1","PL3",0
"bou1","PL6",1
"bou1","PL8",0
"ene1","BARE",0
"ene1","SG",1
"ene1","DU",1
"ene1","TR",0
"ene1","PAUC2",0
"ene1","PAUC3",0
"ene1","PAUC4",0
"ene1","GPAUC",0
"ene1","PL2",1
"ene1","PL3",0
"ene1","PL6",0
"ene1","PL8",0
"eng1","BARE",0
"eng1","SG",1
"eng1","DU",0
"eng1","TR",0
"eng1","PAUC2",0
"eng1","PAUC3",0
"eng1","PAUC4",0
"eng1","GPAUC",0
"eng1","PL2",1
"eng1","PL3",0
"eng1","PL6",0
"eng1","PL8",0
"gga1","BARE",0
"gga1","SG",1
"gga1","DU",1
"gga1","TR",1
"gga1","PAUC2",0
"gga1","PAUC3",0
"gga1","PAUC4",1
"gga1","GPAUC",0
"gga1","PL2",0
"gga1","PL3",0
"gga1","PL6",1
"gga1","PL8",0
"ggu1","BARE",0
"ggu1","SG",1
"ggu1","DU",1
"ggu1","TR",0
"ggu1","PAUC2",0
"ggu1","PAUC3",1
"ggu1","PAUC4",0
"ggu1","GPAUC",0
"ggu1","PL2",1
"ggu1","PL3",0
"ggu1","PL6",0
"ggu1","PL8",0
"hir1","BARE",0
"hir1","SG",1
"hir1","DU",1
"hir1","TR",1
"hir1","PAUC2",0
"hir1","PAUC3",0
"hir1","PAUC4",1
"hir1","GPAUC",0
"hir1","PL2",0
"hir1","PL3",0
"hir1","PL6",1
"hir1","PL8",0
"ike1","BARE",0
"ike1","SG",1
"ike1","DU",1
"ike1","TR",1
"ike1","PAUC2",0
"ike1","PAUC3",0
"ike1","PAUC4",0
"ike1","GPAUC",0
"ike1","PL2",1
"ike1","PL3",0
"ike1","PL6",0
"ike1","PL8",0
"ila1","BARE",0
"ila1","SG",1
"ila1","DU",1
"ila1","TR",0
"ila1","PAUC2",0
"ila1","PAUC3",1
"ila1","PAUC4",0
"ila1","GPAUC",1
"ila1","PL2",0
"ila1","PL3",0
"ila1","PL6",0
"ila1","PL8",1
"jap1","BARE",1
"jap1","SG",0
"jap1","DU",0
"jap1","TR",0
"jap1","PAUC2",0
"jap1","PAUC3",0
"jap1","PAUC4",0
"jap1","GPAUC",0
"jap1","PL2",1
