Language_ID,Language,Source,Page
bar1,Barasano,jones1991barasano,80-92
lat1,Latvian,praulinvs2012latvian,108;134;141
lez1,Lezgian,haspelmath1993grammar,143-144;142;141
ets1,Nenets,nikolaeva2014grammar,113;83
tur1,Turkish,underhill1976turkish,280;145;146;48
ita1,Wichita,rood1976wichita,92-99
inã1,Apurinã,facundes2000language,517
hun1,Hungarian,rounds2009hungarian,26;31;50
pit1,Awa Pit,curnow1997grammar,176;220;222;274;166
ana1,Hixkaryana,derbyshire1979hixkaryana,138-139
ild1,Kayardild,evans1995grammar,260;258;1259
ire1,Supyire,carlson1994grammar,329-334
mil1,Tamil,schiffman1999reference,52
est1,Greenlandic West,fortescue1984west,176;220;222;274;166
lak1,Alamblak,bruce1984alamblak,133
iri1,Isekiri,dahl1985tense,178
nda1,Imonda,seiler1985imonda,92-96
yma1,Yukaghir Kolyma,maslova2003grammar,176;220;222;274;166
rin1,Mandarin,dahl1985tense,180
ean1,Korean,yeon2013korean,203
ati1,Koasati,kimball1985descriptive,180-181;165
eca1,Seneca,chafe2015grammar,28
ama1,Rama,grinevald1990grammar,143
nki1,Evenki,nedjalkov1997evenki,235
lof1,Wolof,fallou2003wolof,64-80
ind1,Indonesian,dahl1985tense,160
ulu1,Zulu,grout1859isizulu,147;159;142;154
nui1,Rapanui,du2012rapanui,156
ewa1,Kewa,franklin1971grammar,39-40
hoe1,Khoekhoe,hagman1977nama,62
tho1,Sesotho,lombard1985introduction,141-160
uyu1,Kikuyu,jeon2015basic,60
ese1,Japanese,akiyama2012japanese,93-100
