Language,Source,Page,Domain,Meaning,Form,Comments
Barasano,jones1991barasano,80-92,Tense,a,ka,
Barasano,jones1991barasano,80-92,Tense,a,yu,
Barasano,jones1991barasano,80-92,Tense,a,sa,
Barasano,jones1991barasano,80-92,Tense,a,ria,
Barasano,jones1991barasano,80-92,Tense,a,ruyu,
Barasano,jones1991barasano,80-92,Tense,b,ruyu,
Barasano,jones1991barasano,80-92,Tense,b,yu,
Barasano,jones1991barasano,80-92,Tense,b,sa,
Barasano,jones1991barasano,80-92,Tense,b,ria,
Barasano,jones1991barasano,80-92,Tense,c,ha,
Barasano,jones1991barasano,80-92,Tense,c,bu,
Barasano,jones1991barasano,80-92,Tense,c,ruyu,
Barasano,jones1991barasano,80-92,Tense,c,yu,
Barasano,jones1991barasano,80-92,Tense,c,sa,
Barasano,jones1991barasano,80-92,Tense,c,ria,
Barasano,jones1991barasano,80-92,Tense,r,a,
Barasano,jones1991barasano,80-92,Tense,r,s,
Barasano,jones1991barasano,80-92,Tense,r,ro,
Barasano,jones1991barasano,80-92,Tense,r,go,
Barasano,jones1991barasano,80-92,Tense,r,gu,
Barasano,jones1991barasano,80-92,Tense,r,ra,
Barasano,jones1991barasano,80-92,Tense,xyz,go,
Barasano,jones1991barasano,80-92,Tense,xyz,gu,
Barasano,jones1991barasano,80-92,Tense,xyz,ra,
Barasano,jones1991barasano,80-92,Tense,xyz,ro,
Barasano,jones1991barasano,80-92,Evidentiality,v,ka,
Barasano,jones1991barasano,80-92,Evidentiality,v,ha,
Barasano,jones1991barasano,80-92,Evidentiality,v,bu,
Barasano,jones1991barasano,80-92,Evidentiality,v,a,
Barasano,jones1991barasano,80-92,Evidentiality,v,s,
Barasano,jones1991barasano,80-92,Evidentiality,s,ruyu,
Barasano,jones1991barasano,80-92,Evidentiality,s,ro,
Barasano,jones1991barasano,80-92,Evidentiality,ia,yu,
Barasano,jones1991barasano,80-92,Evidentiality,ia,su,
Barasano,jones1991barasano,80-92,Evidentiality,ia,ria,
Barasano,jones1991barasano,80-92,Evidentiality,ia,go,
Barasano,jones1991barasano,80-92,Evidentiality,ia,gu,
Barasano,jones1991barasano,80-92,Evidentiality,ia,ra,
Barasano,jones1991barasano,80-92,Evidentiality,ia,ro,
Barasano,jones1991barasano,80-92,Evidentiality,ia,rua,
Barasano,jones1991barasano,80-92,Evidentiality,hq,yu,
Barasano,jones1991barasano,80-92,Evidentiality,hq,su,
Latvian,praulinvs2012latvian,108;134,Tense,r,u,
Latvian,praulinvs2012latvian,108;134,Tense,r,I,
Latvian,praulinvs2012latvian,108;134,Tense,r,,
Latvian,praulinvs2012latvian,108;134,Tense,r,am,
Latvian,praulinvs2012latvian,108;134,Tense,r,at,
Latvian,praulinvs2012latvian,108;134,Tense,r,ju,
Latvian,praulinvs2012latvian,108;134,Tense,r,,
Latvian,praulinvs2012latvian,108;134,Tense,r,,
Latvian,praulinvs2012latvian,108;134,Tense,r,jam,
Latvian,praulinvs2012latvian,108;134,Tense,r,jat,
Latvian,praulinvs2012latvian,108;134,Tense,abc,u,
Latvian,praulinvs2012latvian,108;134,Tense,abc,I,
Latvian,praulinvs2012latvian,108;134,Tense,abc,a,
Latvian,praulinvs2012latvian,108;134,Tense,abc,am,
Latvian,praulinvs2012latvian,108;134,Tense,abc,at,
Latvian,praulinvs2012latvian,108;134,Tense,abc,ju,
Latvian,praulinvs2012latvian,108;134,Tense,abc,ji,
Latvian,praulinvs2012latvian,108;134,Tense,abc,ja,
Latvian,praulinvs2012latvian,108;134,Tense,abc,jam,
Latvian,praulinvs2012latvian,108;134,Tense,abc,jat,
Latvian,praulinvs2012latvian,141,Tense,xyz,su,
Latvian,praulinvs2012latvian,141,Tense,xyz,si,
Latvian,praulinvs2012latvian,141,Tense,xyz,s,
Latvian,praulinvs2012latvian,141,Tense,xyz,sim,
Latvian,praulinvs2012latvian,141,Tense,xyz,siet,
Latvian,praulinvs2012latvian,141,Tense,xyz,sit,
Latvian,praulinvs2012latvian,163-164,Evidentiality,vsia,,
Latvian,praulinvs2012latvian,163-164,Evidentiality,hq,ot,
Latvian,praulinvs2012latvian,163-164,Evidentiality,hq,oties,
Lezgian,haspelmath1993grammar,143-144,Tense,abc,nwa,
Lezgian,haspelmath1993grammar,143-144,Tense,abc,nawa,
Lezgian,haspelmath1993grammar,142,Tense,abc,na,
Lezgian,haspelmath1993grammar,141,Tense,rxyz,da,
Lezgian,haspelmath1993grammar,148,Evidentiality,vsia,,
Lezgian,haspelmath1993grammar,148,Evidentiality,hq,lda,
Maricopa,gordon1986development,111,Evidentiality,v,kyuu,
Maricopa,gordon1986development,111,Evidentiality,v,yuu,
Maricopa,gordon1986development,112,Evidentiality,s,ka,
Maricopa,gordon1986development,112,Evidentiality,s,a,
Maricopa,gordon1986development,150-151,Evidentiality,ia,shaa,
Maricopa,gordon1986development,174,Evidentiality,hq,ish,
Meithei,aikhenvald2004evidentiality,31,Evidentiality,vs,,
Meithei,aikhenvald2004evidentiality,31,Evidentiality,iahq,lem,
Nenets,nikolaeva2014grammar,113,Evidentiality,s,won,
Nenets,nikolaeva2014grammar,93,Evidentiality,ia,mie,
Nenets,nikolaeva2014grammar,93,Evidentiality,ia,wedoh,
Nenets,nikolaeva2014grammar,93,Evidentiality,ia,weda,
Nenets,nikolaeva2014grammar,94,Evidentiality,ia,wi,
Nenets,nikolaeva2014grammar,94,Evidentiality,ia,mi,
Nenets,nikolaeva2014grammar,96,Evidentiality,hq,rexamie,
Nenets,nikolaeva2014grammar,96,Evidentiality,hq,rawi,
Nenets,nikolaeva2014grammar,96,Evidentiality,hq,lawi,
Nenets,nikolaeva2014grammar,96,Evidentiality,hq,lexawi,
Nenets,nikolaeva2014grammar,113,Tense,abcr,se,
Nenets,nikolaeva2014grammar,83,Tense,xyz,te,
Nenets,nikolaeva2014grammar,83,Tense,xyz,nko,
Sanuma,borgman1999sanuma,165,Evidentiality,vs,ku,
Sanuma,borgman1999sanuma,165,Evidentiality,vs,ka,
Sanuma,borgman1999sanuma,165,Evidentiality,vs,ko,
Sanuma,borgman1999sanuma,165,Evidentiality,vs,ki,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,ke,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,kehe,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,kupi,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,kopi,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,kipi,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,kupili,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,kopili,
Sanuma,borgman1999sanuma,169,Evidentiality,vs,kipili,
Sanuma,borgman1999sanuma,170,Evidentiality,hq,noa,
Sanuma,borgman1999sanuma,171,Evidentiality,hq,no,
Sanuma,borgman1999sanuma,170,Evidentiality,hq,thai,
Sanuma,borgman1999sanuma,170,Evidentiality,hq,thali,
Sanuma,borgman1999sanuma,172,Evidentiality,ia,,
Sanuma,borgman1999sanuma,172,Evidentiality,ia,,
Sanuma,borgman1999sanuma,172,Evidentiality,ia,,
Sanuma,borgman1999sanuma,172,Evidentiality,ia,,
Sanuma,borgman1999sanuma,172,Evidentiality,ia,kite,
Turkish,underhill1976turkish,280,Tense,xyz,ecek,
Turkish,underhill1976turkish,145,Tense,r,ir,
Turkish,underhill1976turkish,145,Tense,r,er,
Turkish,underhill1976turkish,146,Tense,r,r,
Turkish,underhill1976turkish,48,Tense,abc,di,
Turkish,underhill1976turkish,195,Evidentiality,vs,,
Turkish,underhill1976turkish,195,Evidentiality,iahq,mIs,
Wichita,rood1976wichita,92-99,Tense,abc,aki,
Wichita,rood1976wichita,92-99,Tense,r,ta,
Wichita,rood1976wichita,92-99,Tense,xyz,ke?e,
Wichita,rood1976wichita,92-96,Evidentiality,v,,
Wichita,rood1976wichita,92-96,Evidentiality,I,wers?,
Wichita,rood1976wichita,92-96,Evidentiality,a,kho?,
Wichita,rood1976wichita,92-96,Evidentiality,hq,kiya,
Wichita,rood1976wichita,92-96,Evidentiality,hq,ai?,
Wichita,rood1976wichita,92-96,Evidentiality,hq,kn,
Quechua,aikhenvald2004evidentiality,43,Evidentiality,vs,mi,
Quechua,aikhenvald2004evidentiality,43,Evidentiality,ia,chi,
Quechua,aikhenvald2004evidentiality,43,Evidentiality,ia,chr,
Quechua,aikhenvald2004evidentiality,43,Evidentiality,ia,chra,
Quechua,aikhenvald2004evidentiality,43,Evidentiality,hq,shi,
Enets,kunnap2002enets,145-148,Evidentiality,s,mono,
Enets,kunnap2002enets,145-148,Evidentiality,s,ono,
Enets,kunnap2002enets,145-148,Evidentiality,s,onu,
Enets,kunnap2002enets,145-148,Evidentiality,hq,bi,
Enets,kunnap2002enets,145-148,Evidentiality,hq,pi,
