Language,Family,Source,Page,BARE,SG,DU,TR,PAUC2,PAUC3,PAUC4,GPAUC,PL2,PL3,PL6,PL8,Comments
Piraha,Mura,Corbett2000,50-51,a,,,,,,,,,,,,
Kawi,Austronesian,Corbett2000,51,a,,,,,,,,,,,,
Japanese,Japonic,Corbett2000,14,a,,,,,,,,b,,,,
English,Indo-European,Corbett2000,9,,a,,,,,,,b,,,,
Russian,Indo-European,Corbett2000,4,,a,,,,,,,b,,,,
Upper Sorbian,Indo-European,Corbett2000,20,,a,b,,,,,,,c,,,
Bayso,Afro-Asiatic,Corbett2000,22,,a,,,b,,,,,,c,,
Avar,Nakh-Daghestanian,Corbett2000,22,,a,,,b,,,,,,c,,some nouns only
Yimas,Lower Sepik-Ramu,Corbett2000,23,,a,b,,,c,,,,,d,,
Meryam Mir,Eastern Trans-Fly,Corbett2000,23,,a,b,,,c,,,,,d,,
Boumaa Fijian,Austronesian,Corbett2000,23-24,,a,b,,,c,,,,,d,,
Paamese,Austronesian,Corbett2000,24,,a,b,,,c,,,,,d,,
Manam,Austronesian,Corbett2000,24,,a,b,,,c,,,,,d,,
Ambrym,Austronesian,Corbett2000,24,,a,b,,,c,,,,,d,,
Kwaio,Austronesian,Corbett2000,25,,a,b,,,c,,,,,d,,
Sa’a,Austronesian,Corbett2000,25,,a,b,,,c,,,,,d,,
Langalanga,Austronesian,Corbett2000,25,,a,b,,,c,,,,,d,,
Lau,Austronesian,Corbett2000,25,,a,b,,,c,,,,,d,,
Ungarinjin,Worrorran,Corbett2000,25,,a,b,,,c,,,,,d,,
Murrinh-Patha,Southern Daly,Corbett2000,25,,a,b,,,c,,,,,d,,
Lihir,Austronesian,Corbett2000,25-26,,a,b,c,,,d,,,,e,,we don’t know if the trial is genuine or a paucal or facultative
Sursurunga,Austronesian,Corbett2000,26-27,,a,b,,,c,,d,,,,e,
Tangga,Austronesian,Corbett2000,29,,a,b,c,,,d,,,,e,,we don’t know if the trial is genuine or a paucal or facultative
Marshallese,Austronesian,Corbett2000,29-30,,a,b,c,,,d,,e,,,,
Banyun,Atlantic-Congo,Corbett2000,31,,a,,,b,,,,,,c,,
Fula,Atlantic-Congo,Corbett2000,31,,a,,,b,,,,,,c,,for some words
Hamer,South Omotic,Corbett2000,32-33,,a,,,b,,,,,,c,,
Kaytetye,Pama-Nyungan,Corbett2000,33,,a,b,,,c,,,,,d,,
Mokilese,Austronesian,Corbett2000,34,,a,b,,,c,,,,,d,,
Mele-Fila,Austronesian,Corbett2000,35,,a,b,,,c,,d,,,,e,across two systems
Larike,Austronesian,Corbett2000,21,,a,b,c,,,,,d,,,,
Ngan’gityemerri,Austronesian,Corbett2000,21-22;43-44,,a,b,c,,,,,,d,,,
Marrithiyel,Western Daly,Corbett2000,22;43,,a,b,c,,,,,,d,,,
Anindilyakwa,Gunwinyguan,Corbett2000,22;43,,a,b,c,,,,,,d,,,
Slovene,Indo-European,Corbett2000,43-45,,a,b,,,,,,c,,,,
Sanskrit,Indo-European,Corbett2000,4;5,,a,b,,,,,,,c,,,
Longgu,Austronesian,Corbett2000,46-48,,a,b,,,c,,,d,,,,
