Language,Family,Source,A,H,HQ,I,IA,IAHQ,IH,Q,S,SIAHQ,V,VS,VSI,<NA>
!Xun,Kxa,Aikhenvald2004,,,,,,,,,,,,,,
Abkhaz,Abkhaz-Adyge,Aikhenvald2004,,,,,,a,,,,,,,,
Achagua,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Adioukrou,Atlantic-Congo,Aikhenvald2004,,,,,,,,,,,,,,
Afghan Persian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Aguaruna,Chicham,Aikhenvald2004,,,,,,,,,,,,,,
Agul,Nakh-Daghestanian,Aikhenvald2004,,,,,,,,,,,,,,
Akha,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Albanian,Indo-European,Aikhenvald2004,,,,,,a,,,,,,b,,
Algonquian,NA,Aikhenvald2004,,,,,,,,,,,,,,
Amahuaca,Pano-Tacanan,Aikhenvald2004,,,,,,,,,,,,,,
Amdo Tibetan,Sino-Tibetan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Andean Spanish,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Apache,Athabaskan-Eyak-Tlingit,Aikhenvald2004,,,,,,,,,,,,,,
Arabela,Zaparoan,Aikhenvald2004,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,Aikhenvald2004,,,,,,,,,,,,,,
Aranda,Pama-Nyungan,Aikhenvald2004,,,,,,,,,,,,,,
Arapaho,Algic,Aikhenvald2004,,,,,,,,,,,,,,
Archi,Nakh-Daghestanian,Aikhenvald2004,,,c,,b,,,,,,,a,,
Arizona Tewa,Kiowa-Tanoan,Aikhenvald2004,,,,,,a,,,,,,,,
Armernian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Aromanian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Arrernte,Pama-Nyungan,Aikhenvald2004,,,,,,,,,,,,,,
Aslian,NA,Aikhenvald2004,,,,,,,,,,,,,,
Avar,Nakh-Daghestanian,Aikhenvald2004,,,,,,,,,,,,,,
Aymara,Aymaran,Aikhenvald2004,,,c,,b,,,,,,,a,,
Bagvalad,Nakh-Daghestanian,Aikhenvald2004,,,,,,,,,,,,,,
Bahwana,Arawakan,Aikhenvald2004,,,,,,,,,,,,,,
Balinese,Austronesian,Aikhenvald2004,,,,,,,,,,,,,,
Balkan Slavic,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Balto-Finnic,Uralic,Aikhenvald2004,,,,,,,,,,,,,,
Banawa,Arawan,Aikhenvald2004,,,,,,,,,,,,,,
Baniwa,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Barasano,Tucanoan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Barbacoan,NA,Aikhenvald2004,,,,,,,,,,,,,,
Basque,Basque,Aikhenvald2004,,,,,,,,,,,,,,
Bedauye,Afro-Asiatic,Aikhenvald2004,,,,,,,,,,,,,,
Bella Coola,Salishan,Aikhenvald2004,,,,,,,,,,,,,,
Benue-Congo,NA,Aikhenvald2004,,,,,,,,,,,,,,
Biansi,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Bora,Boran,Aikhenvald2004,,,c,,b,,,,,,,a,,
Boumaa Fijian,Austronesian,Aikhenvald2004,,,,,,,,,,,,,,
Bukiyip Arapesh,Nuclear Torricelli,Aikhenvald2004,,,,,,,,,,,,,,
Bulgar,Turkic,Aikhenvald2004,,,,,,,,,,,,,,
Bulgarian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Capanawa,Pano-Tacanan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Cashibo,Pano-Tacanan,Aikhenvald2004,,,a,,,,,,,,,,,
Cavinena,Pano-Tacanan,Aikhenvald2004,,,,,,,,,,,,,,
Central Pomo,Pomoan,Aikhenvald2004,d,f,,c,,,,e,b,,a,,,
Central Tucanoan,Tucanoan,Aikhenvald2004,,,,,,,,,,,,,,
Chantyal,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Chemehuevi,Uto-Aztecan,Aikhenvald2004,,,,,,,,a,,,,,,
Chepang,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Cherokee,Iroquoian,Aikhenvald2004,,,,,,b,,,,,,a,,
Cheyenne,Algic,Aikhenvald2004,,,,,,,,,,,,,,
Chinantecan,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Chinese Pidgin Russian,Pidgin,Aikhenvald2004,,,,,,,,,,,,,,
"Chinese, Mandarin",Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Chipewyan,Athabaskan-Eyak-Tlingit,Aikhenvald2004,,,,,,,a,,,,,,,
Choctaw,Muskogean,Aikhenvald2004,,,,,,,,,,,,,,
Chukchi,Chukotko-Kamchatkan,Aikhenvald2004,,,,,,,,,,,,,,
Circassian,Abkhaz-Adyge,Aikhenvald2004,,,,,,,,,,,,,,
Colombian Spanish,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Comanche,Uto-Aztecan,Aikhenvald2004,,a,,,,,,b,,,,,,
Copala Trique,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Cora,Uto-Aztecan,Aikhenvald2004,,c,,,b,,,d,,,,a,,
Cree,Algic,Aikhenvald2004,,,,,,a,,,,,,,,
Cree/Montagnais/Naskapi,Algic,Aikhenvald2004,,,,,,a,,,,,,,,
Crimean Tatar,Turkic,Aikhenvald2004,,,,,,,,,,,,,,
Croatian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Cupeno,Uto-Aztecan,Aikhenvald2004,,,a,,,,,,,,,,,
Daco-Romanian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Dakota,Siouan,Aikhenvald2004,,a,,,,,,b,,,,,,
Dani,Nuclear Trans New Guinea,Aikhenvald2004,,,,,,,,,,,,,,
Dardic,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Dargwa,Nakh-Daghestanian,Aikhenvald2004,,,,,,,,,,,,,,
Daw,Naduhup,Aikhenvald2004,,,a,,,,,,,,,,,
Desano,Tucanoan,Aikhenvald2004,d,,e,c,,,,,b,,a,,,
Diegueno,Cochimi-Yuman,Aikhenvald2004,,,,,,,,,,,,,,
Diyari,Pama-Nyungan,Aikhenvald2004,,,,,,,,,,,,,,
Dogon,Dogon,Aikhenvald2004,,,,,,,,,,,,,,
Donno Saw,Dogon,Aikhenvald2004,,,,,,,,,,,,,,
Dulong,Sino-Tibetan,Aikhenvald2004,,,c,,,,,,b,,a,,,
Dutch,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Dyirbal,Pama-Nyungan,Aikhenvald2004,,,,,,,,,,,,,,
East Tucanoan,Tucanoan,Aikhenvald2004,,,,,,,,,,,,,,
Eastern Armenian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Eastern Pomo,Pomoan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Eastern Quebec Cree,Algic,Aikhenvald2004,,,,,,,,,,,,,,
Enets,Uralic,Aikhenvald2004,,,c,,b,,,,a,,,,,
Enga,Nuclear Trans New Guinea,Aikhenvald2004,,,a,,,,,,,,,,,
English,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Eskimo-Aluet,Eskimo-Aleut,Aikhenvald2004,,,,,,,,,,,,,,
Estonian,Uralic,Aikhenvald2004,,,a,,,,,,,,,,,
Estonian South,Uralic,Aikhenvald2004,,,,,,,,,,,,,,
Euchee,Euchee,Aikhenvald2004,,,,,,,,,,,,,,
Even,Tungusic,Aikhenvald2004,,,,,,,,,,,,,,
Evenki,Tungusic,Aikhenvald2004,,,,,,,,,,,,,,
Fasu,Fasu,Aikhenvald2004,,d,,c,,,,e,b,,a,,,
Fox,Algic,Aikhenvald2004,,,,,,,,,,,,,,
French,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Gahuku,Nuclear Trans New Guinea,Aikhenvald2004,,,,,,,,,,,,,,
Galician,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Gaviao,Tuplan,Aikhenvald2004,,,a,,,,,,,,,,,
Georgian,Kartvelian,Aikhenvald2004,,,,,,,,,,,,,,
German,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Godoberi,Nakh-Daghestanian,Aikhenvald2004,,,,,,b,,,,,,a,,
Greek,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
"Guarani, Paraguayan",Tuplan,Aikhenvald2004,,,a,,,,,,,,,,,
Hakha Lai,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Hare,Athabaskan-Eyak-Tlingit,Aikhenvald2004,,,,,,,a,,,,,,,
Hatti,Hatti,Aikhenvald2004,,,,,,,,,,,,,,
Hebrew,Afro-Asiatic,Aikhenvald2004,,,,,,,,,,,,,,
Hill Patwin,Wintuan,Aikhenvald2004,,,,,,,,,,,,,,
Hittite,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Hixkaryana,Cariban,Aikhenvald2004,,,,,,,,,,,,,,
Hone,Atlantic-Congo,Aikhenvald2004,,,,,,,,,,,,,,
Hopi,Uto-Aztecan,Aikhenvald2004,,,,,,,,,,,,,,
Hungarian,Uralic,Aikhenvald2004,,,,,,,,,,,,,,
Hunzib,Nakh-Daghestanian,Aikhenvald2004,,,,,,a,,,,,,,,
Hup,Naduhup,Aikhenvald2004,,,,,,,,,,,,,,
Hupa,Athabaskan-Eyak-Tlingit,Aikhenvald2004,d,,,c,,,,,b,,a,,,
Hupda,Naduhup,Aikhenvald2004,d,,e,c,,,,,b,,a,,,
Ignaciano,Arawakan,Aikhenvald2004,,,a,,,,,,,,,,,
Irantxe,Irantxe,Aikhenvald2004,,,,,,,,,,,,,,
Ishkashim,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Istanbul Judezmo,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Itelmen,Chukotko-Kamchatkan,Aikhenvald2004,,,,,,,,,,,,,,
Jamamadi,Arawakan,Aikhenvald2004,,,,,,,,,,,,,,
Jamiltepec Mixtec,Otomanguean,Aikhenvald2004,,,,,,,,,,,,,,
Jamul Tiipay,Cochimi-Yuman,Aikhenvald2004,,,,,,,,,,,,,,
Japanese,Japonic,Aikhenvald2004,,,,,,,,,,,,,,
Jarawara,Arawan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Jinghpaw,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Kalapalo,Cariban,Aikhenvald2004,,,,,,,,,,,,,,
Kalasha,Indo-European,Aikhenvald2004,,,,,,b,,,,,,a,,
Kamaiura,Tuplan,Aikhenvald2004,,,,,,,,,,,,,,
Kambera,Austronesian,Aikhenvald2004,,,,,,,,,,,,,,
