Language,Domain,Source,Meaning,Syntax,Form,Comments,Flag for review
Piraha,Number,"Everett, D. L. (2005). Cultural Constraints on Grammar and Cognition in Pirahã: Another Look at the Design Features of Human Language. Current Anthropology, 46(4), 621–646. https://doi.org/10.1086/431525 ",BARE,--,--,"Everett claims there to be no grammatical number in Piraha (i.e., no number contrasts on nouns, pronouns, verbs, or modifiers for number), confirmed by Corbett. ",--
Kawi,Number,"Becker, A. L., & Oka, I. G. N. (1974). Person in Kawi: Exploration of an Elementary Semantic Dimension. Oceanic Linguistics, 13(1/2), 229. https://doi.org/10.2307/3622745",BARE,Pronoun,--,"p. 51 ""Kawi (Old Javanese) is reported to have been similar to Piraga in not having plural nouns or pronouns, though number could be indicated by quantifiers such as 'many' and 'all' or by conjoining pronouns (Becker and Oka 1974:232). 

p232_""Plurality in Kawi is marked by conjoining pronouns (e.g., you and I) or by quantifiers (e.g., many, all, etc.) or it is simply assumed from context. There is, hence, no first person plural 'we', either exclusive or inclu- sive.""",--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",BARE,Noun,--,"e.g., ""mankind' and ""womenfolk""",--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Noun,--,--,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Noun,-tati,animate,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Noun,-ra,inanimate,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Noun,-gata,exalting animate,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Noun,-domo,humbling animate,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Noun,-ta  ,--,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Noun,-syo,--,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",SG,Pronoun,kare,modern,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",SG,Pronoun,kano-z yo,modern,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",SG,Pronoun,ano-hito,older and more common (yet vague),--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",SG,Pronoun,ano-ko,older and more common (yet vague),--
Japanese,Number,"Downing, P. (1996). Numeral classifier systems. The Case of Japanese. John Benjamins Publishing Company. ",PL,Noun,-tachi-,p. 201,--
Japanese,Number,"Martin, S. E. (1987). A reference grammar of Japanese. Charles E. Tuttle Company, Inc.",PL,Reduplication,--,"Note: Reduplication indicates grammatical number: ""Most of the reduplications are old and biuilt on native Japanese nouns, but we also find iterations of longer elements, including binoms of Chinese origin (the reduplication being given the accentuation of a compound noun_, and these can be used for plural reference""; (p. 151)",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,i ,"1Person Nominative - Personal, Subjective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,me,"1Person Accusative - Personal, Objective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,me,"1Person Dative - Personal, Objective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,we,"1Person - Personal, Subjective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,you,"2Person - Personal, Subjective/ Objective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,you,"2Person - Possessive, Subjective/ Objective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,us,"1Person - Personal, Objective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,your,"2Person - Possessive, Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,your,"2Person - Possessive, Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,my,"1Person Genitive - Possessive, Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,my,"1Person Genitive - Possessive, Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,mine,1Person - Possessive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,he,"3Person masculine - Personal, Subjective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,him,"3Person masculine  - Personal, Objective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,she,"3Person feminine - Personal, Subjective",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,her,"3Person feminine - Personal, Objective/ Genitive - Possessive Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,his,"3Person masculine  - Possessive, Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,hers ,"3Person feminine   - Possessive, Independent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,it,"3Person neuter - Non-personal, Subjective/ Objective - Possessive Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,its,"3Person neuter  - Possessive, Independent",--
